Title,Type,Department,Medium,Year~,Artist
Plate,Plate,Asian Art,"Stoneware with white slip decoration on pale celadon glaze (""Swatow"" ware)",1633,
Bowl,Bowl,Asian Art,Stoneware with mold-relief and inlaid decoration under celadon glaze,1166,
Oil bottle decorated with peony leaves,Oil bottle,Asian Art,Stoneware with reverse-inlaid design under celadon glaze,1199,
Oil bottle decorated with floral scrolls and lotus petals,Oil bottle,Asian Art,Stoneware with incised design under celadon glaze,1199,
Container for Bulbs,Container,Asian Art,Stoneware with applied decoration under celadon glaze (Longquan ware),1333,
Bowl with plum blossom and crescent moon,Bowl,Asian Art,Porcelain with incised decoration under celadon glaze (Longquan ware),1299,
Lobed Dish,Dish,Asian Art,Porcelain with celadon glaze (Hizen ware; Nabeshima type),1799,
Dish,Dish,Asian Art,Porcelain with celadon glaze and enamels (Hizen ware),1868,
Small Plate,Plate,Asian Art,"Porcelain with celadon glaze (Arita ware, Kakiemon type)",1733,
Lion-dog (Shishi),Figure,Asian Art,Porcelain with incised decoration under celadon glaze (Hizen ware: Hirado type),1820,
Vase with an immortal,Vase,Asian Art,"Porcelain with relief decoration, painted in underglaze blue, with a celadon glaze (Jingdezhen ware)",1799,
Bowl with Foliate Rim,Bowl,Asian Art,Stoneware with inlaid design of chrysanthemums and butterflies under celadon glaze,1199,
Dish Incised with Floral Design,Dish,Asian Art,Porcelain with molded floral relief and celadon glaze (Nabeshima ware),1780,
Dish with Design of Seven Jars,Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue (Hizen ware, Nabeshima type)",1729,
Lid of a box,Lid of box,Asian Art,Stoneware with mold decoration under a celadon glaze (Longquan ware),1279,
Dish with Chestnuts and Oak Leaves,Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue (Hizen ware, Nabeshima type)",1739,
Meiping vase with floral scrolls,Vase,Asian Art,Porcelain with relief decors under a celadon glaze (Jingdezhen ware),1799,
"Small Dish with Waves, Shells, and Gourds",Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue (Hizen ware, Nabeshima type)",1695,
Dish with Peaches,Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue (Hizen ware, Nabeshima type)",1799,
Bowl,Bowl,Asian Art,Faience with light celadon glaze; decoration in enamels and gold (Kyoto ware),1840,
Dish with Design of Dishes,Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue (Hizen ware, Nabeshima type)",1735,
Ewer with Parrots,Ewer,Asian Art,Stoneware with incised decoration under celadon glaze (Yue ware),999,
Melon-shaped ewer with bamboo decoration,Ewer,Asian Art,Stoneware with carved and incised design under celadon glaze,1149,
Cup and stand decorated with lotus seeds and petals,Cup stand,Asian Art,Stoneware with incised design under celadon glaze,1150,
Bowl with Lotus,Bowl,Asian Art,Stoneware with incised decoration under celadon glaze (Si Satchanalai ware),1599,
Box from set of five decorated with cranes and clouds,Box,Asian Art,Stoneware with inlaid decoration of cranes and clouds under celadon glaze,1399,
Wine Ewer with Lotuses,Wine ewer,Asian Art,Stoneware with incised decoration under celadon glaze,1199,
Tea bowl and saucer with lotus decoration,Bowl and saucer,Asian Art,Stoneware with carved decoration under celadon glaze,589,
Vase with Peony Scrolls,Vase,Asian Art,Porcelain with molded decoration under celadon glaze (Longquan ware),1366,
Vase with dragonfish handles,Vase,Asian Art,Porcelain with relief decoration under celadon glaze (Longquan ware),1299,
Cup Stand with Relief Plum-Blossom Pattern,Cup stand,Asian Art,"Porcelain with celadon glaze (Hizen ware, Arita type)",1666,
Vase with characters fortune (fu) and longevity (shou),Vase,Asian Art,"Porcelain painted in underglaze cobalt blue, with celadon glaze (Jingdezhen ware)",1849,
Bowl with eight Buddhist treasures,Bowl,Asian Art,Porcelain painted in polychrome enamels over a celadon glaze (Jingdezhen ware),1795,
Small Jar (Kotsubo) with Relief Plum- Blossom Patterns,Jar,Asian Art,"Porcelain with celadon glaze (Hizen ware, Arita type)",1649,
"Small jar and cover decorated with chrysanthemums, cranes, and clouds",Jar and cover,Asian Art,Stoneware with gold and inlaid design under celadon glaze,1299,
Covered Box,Covered box,Asian Art,Stoneware with inlaid and reverse-inlaid decoration of chrysanthemums and floral scrolls under celadon glaze,1299,
Vase with poetric scenes,Vase,Asian Art,"Porcelain painted in underglaze cobalt blue and copper red, and low-relief decoration under celadon glaze (Jingdezhen ware)",1799,
Cup with Cover,Cup,Asian Art,White porcelain covered with a light celadon glaze and decorated with polychrome enamels and gold (Nabeshima ware),1780,
Jar with cover,Jar with cover,Asian Art,"Porcelain covered with a delicate celadon glaze, decorated in colored enamels (Nabeshima ware)",1780,
Oil Bottle,Oil bottle,Asian Art,Stoneware with iron-brown and white-slip-painted decoration of dots under celadon glaze,1299,
Maebyeong,Vase,Asian Art,Stoneware with underglaze iron-brown decoration of peonies and floral scrolls under celadon glaze,1199,
Bowl with Two Boys among Foliage,Bowl,Asian Art,Stoneware with mold-impressed decoration under celadon glaze (Yaozhou ware),1199,
Oil bottle decorated with peonies and chrysanthemums,Oil bottle,Asian Art,Stoneware with copper-red and inlaid design under celadon glaze,1299,
Funerary jar with dragon,Funerary jar,Asian Art,Porcelain with carved and appliquéd decoration under celadon glaze,1299,
Ewer with phoenix,Ewer,Asian Art,Stoneware with incised and carved decoration under celadon glaze (Yaozhou ware),1199,
Dish with Cranes,Dish,Asian Art,"Porcelain with celadon and iron glazes and underglaze blue decoration (Hizen ware, Nabeshima type)",1699,
Bowl with dragon and floral pattern,Bowl,Asian Art,"Porcelain painted in underglaze cobalt blue, with relief decoration, and celadon and dark brown glazes",1899,
Dish with Floating Fans with Bamboo Grass (Sasa) and Plum Motifs,Dish,Asian Art,"Porcelain with celadon glaze, painted with cobalt blue under and polychrome enamels over a transparent glaze (Hizen ware, Nabeshima type)",1729,
Dish with foliate rim,Dish,Asian Art,Stoneware with incised décor and iron-green celadon glaze,1599,
Maebyeong with chrysanthemum decoration,Vase,Asian Art,Stoneware with iron-brown and white-slip decoration of chrysanthemums under celadon glaze,1299,
Fragment of a Waster,Fragment of a waster,Islamic Art,"Stonepaste; white body, molded, incised and pierced under celadon-green glaze",1199,
Dish with Hydrangeas,Dish,Asian Art,"Porcelain with celadon glaze and underglaze blue decoration (Hizen ware, Nabeshima type)",1730,
Fragment,Fragment,Asian Art,Stoneware with celadon glaze (Yue ware),999,
Plate Incised with Peony Design,Plate,Asian Art,White porcelain covered with a celadon glaze over incised design (Nabeshima ware?),1799,
Dish Depicting Two Birds among Flowering Plants,Dish,Islamic Art,Stonepaste; polychrome painted under transparent glaze,1615,
"Brick, glazed","Brick, glazed",Egyptian Art,Pottery,-1295,
Ceremonial punch bowl with cover,Punch Bowl,European Sculpture and Decorative Arts,Delftware (tin-glazed earthenware),1710,
Fragment of a Glazed Tile Inscription,Tile fragment,Islamic Art,Stonepaste; carved decoration under opaque monochrome glaze,1299,
Vase,Vase,European Sculpture and Decorative Arts,"Silver gilt, pottery",1775,
Plaque,Plaque,The American Wing,Earthenware,1895,Charles Volkmar
Blue Dyad 1,,Modern and Contemporary Art,Glazed ceramic,2015,Elisa D'Arrigo
Dish with Two Intertwined Dragons,Dish,Islamic Art,Stonepaste; painted in blue under transparent glaze,1665,
Luster Bowl with Winged Horse,Bowl,Islamic Art,Stonepaste; luster-painted on opaque monochrome glaze,1199,
Tile with Floral and Cloud-band Design,Tile,Islamic Art,Stonepaste; polychrome painted under transparent glaze,1603,
Grafitti Cup 1,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Tiger Ashtray (green),Tableware,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Grafitti Cup 2,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Cup 6,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
SEPTA Train Serving Bowl,Bowl,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Grafitti Truck Bowl 1,Bowl,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Tiger Ashtray (blue),Tableware,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Grafitti Truck Bowl 3,Bowl,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Cup 3,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Truck Bowl 4,Bowl,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Truck Bowl 2,Bowl,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Cup 5,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Grafitti Cup 4,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Plate: Alma Thomas,Plate,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Plate: Beyonce,Plate,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Crown Ashtray (MLK),Ashtray,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Plate: Stacey Abrams,Plate,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Plate: Nina Simone,Plate,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Jug with baptism of Christ,Jug,European Sculpture and Decorative Arts,Tin-glazed earthenware; gilded silver mounts,1695,Wölfgang Rössler
Portrait Cup: Zora Neale Hurston,Cup,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Portrait Cup: Gabrielle Union,Cup,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Portrait Cup: Henrietta Lacks,Tableware,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Portrait Cup: Horace Pippin,Cup,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Portrait Cup: Mae Jemison,Cup,Modern and Contemporary Art,Glazed ceramic,2021,Roberto Lugo
Portrait Cup: Jean-Michel Basquiat,Cup,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Portrait Cup: Frederick Douglass,Cup,Modern and Contemporary Art,Glazed ceramics,2021,Roberto Lugo
Untitled (Vessel),Vessel,Modern and Contemporary Art,Glazed ceramic,1966,Peter Voulkos
Untitled (Sculpture),Sculpture,Modern and Contemporary Art,Glazed ceramic,1959,Win Ng
Magodi - Noxolo,Sculpture,Modern and Contemporary Art,Glazed ceramic,2020,Zizipho Poswa
Umwonyo,Vessel,Modern and Contemporary Art,Glazed ceramic,2019,Andile Dyalvane
Fat conical vase,Vase,Modern and Contemporary Art,Glazed ceramic,2020,Zizipho Poswa
Handpinched Vase,Vase,Modern and Contemporary Art,Glazed ceramic,2020,Zizipho Poswa
Handpinched Vase,Vase,Modern and Contemporary Art,Glazed ceramic,2020,Zizipho Poswa
Sandi Conical Vase,Vase,Modern and Contemporary Art,Glazed ceramic,2020,Andile Dyalvane
Pyxis (Cylindrical Container),Pyxis,Islamic Art,"Stonepaste; luster-painted on incised, opaque white glaze",1125,
Glazed brick,Brick,Ancient West Asian Art,"Ceramic, glaze",200,
Glazed brick,Brick,Ancient West Asian Art,"Ceramic, glaze",200,
Center Table,Center table,The American Wing,"Rosewood, walnut, gilding, marble, brass, glazed ceramic tile",1875,Pottier and Stymus Manufacturing Company
Glazed brick,Brick,Ancient West Asian Art,"Ceramic, glaze",699,
Glazed bowl,Bowl,Ancient West Asian Art,"Ceramic, glaze",6,
Glazed bowl,Bowl,Ancient West Asian Art,"Ceramic, glaze",6,
Glazed bowl,Bowl,Ancient West Asian Art,"Ceramic, glaze",6,
Glazed bowl,Bowl,Ancient West Asian Art,"Ceramic, glaze",6,
Garden Gathering,Tile panel,Islamic Art,Stonepaste; painted and polychrome glazed (cuerda seca technique),1675,
Ceramic Horn,Ceramic Horn,Musical Instruments,Glazed pottery,1833,
Vase,Vase,The American Wing,Earthenware,1922,William J. Dodd
Mihrab (Prayer Niche),Mihrab,Islamic Art,Mosaic of polychrome-glazed cut tiles on stonepaste body; set into mortar,1355,
Small Dish (Kozara) with Three Jars,Dish,Asian Art,"Porcelain with cobalt blue under transparent glaze and polychrome enamels over the glaze (Hizen ware, Nabeshima type)",1699,
"Architectural Elements from Laurelton Hall, Oyster Bay, New York",Loggia elements,The American Wing,"Limestone, ceramic, and Fravrile glass",1908,Louis C. Tiffany
Arhat (Luohan),Figure,Asian Art,Stoneware with three-color glaze,1010,
Imbizo Stool,Stool,Modern and Contemporary Art,Carved glazed ceramic,2021,Chuma Maweni
Imbizo Stool,Stool,Modern and Contemporary Art,Carved glazed ceramic,2021,Chuma Maweni
Panel with striding lion,Relief,Ancient West Asian Art,"Ceramic, glaze",-562,
Green glazed amphora,Amphora,Ancient West Asian Art,"Ceramic, glaze",-2,
Spout in the form of a man's head,Spout,Ancient West Asian Art,"Ceramic, glaze",200,
Glazed Spouted Pot,Pot,Medieval Art,"Earthenware, glazed",699,
Green Glazed Jug,Jug,The Cloisters,Lead glazed earthenware,1400,
Dish,Dish,The American Wing,Tin-glazed earthenware,1704,
Basin,Basin,The American Wing,Tin-glazed earthenware,1650,Master Potter A
Vase,Vase,The American Wing,Painted and glazed earthenware,1882,John Bennett
Vase,Vase,The American Wing,Stoneware,1897,Maria Longworth Nichols
,Storage jar,The American Wing,Alkaline-glazed stoneware,1858,Dave (later recorded as David Drake)
Bowl,Bowl,Ancient West Asian Art,"Ceramic, glaze",0,
Akan Series,Sculpture,Modern and Contemporary Art,Glazed stoneware,1999,Robert Turner
Vessel in the Shape of a Tiger (Huzi),Vessel,Asian Art,Porcelain with green glaze,450,
Dish,Dish,Asian Art,Glazed stoneware (Jizhou ware),1399,
Flower vase,Flower vase,European Sculpture and Decorative Arts,Delftware (tin-glazed earthenware),1710,"The ""Greek A"" Factory"
Tools,Sculpture,Modern and Contemporary Art,"Bronze, glazed ceramic and wood",2022,Woody De Othello
Large Jar,Jar,Islamic Art,"Stonepaste; monochrome glazed, modeled",1283,
Bowl with Fish Motifs,Bowl,Islamic Art,Stonepaste; molded and glazed,1350,
Warrior,Figure,Asian Art,Glazed earthenware,618,
Fragment from a Vessel,Fragment,The Cloisters,Incised slipware with lead glaze,1500,
Turquoise Bowl with Carved Rim,Bowl,Islamic Art,Stonepaste; monochrome glazed,1199,
Plate with Phoenixes,Dish,Islamic Art,Stonepaste; painted under transparent glaze,1350,
Fragment of a Bowl,Fragment,Islamic Art,Porcelaneous ware with clear glaze,899,
Seal-Paste Box,Covered Box,Asian Art,Porcelain with peach-bloom glaze,1722,
Bowl with Pagodas and Landscape Elements,Bowl,Islamic Art,Stonepaste; painted under transparent glaze,1799,
Vase,Vase,Islamic Art,Stonepaste; painted under transparent glaze,1699,
White Bowl,Bowl,Islamic Art,Stonepaste; incised under transparent glaze,1199,
Vase,Vase,Asian Art,Porcelain with light blue glaze,1733,
Cylindrical Vase,Vase,Asian Art,Porcelain with pale-blue glaze (seihakuji),2019,Fukami Sueharu
Bowl,Bowl,Asian Art,Porcelain with white glaze,699,
Jar / Vase,Vase,Modern and Contemporary Art,"Stoneware, wax",1954,Peter Voulkos
Bottle,Bottle,Islamic Art,Stonepaste; painted under transparent glaze,1699,
